blockid,dist2midblk,rl_blk_mid_emp,rl_blk_mid_the,session_id,MDHM,Date,jul_day,Time,start_hr,obs_hour,dur_hr,ID,treatment,species,num_idv,obs,foraging,block,block_ns,platform_bearing,tide_dist,tide_ht,fish,block_fac,x,y,idv_rl
1S,25,145.55271403066138,154.04119982655925,C004,8_18_13_43,2020-08-18,24,13:43:00,13,13,0.5,522,OFF,HS,1,LB,0,1,S,315,44,0.78,239,0,31.112698372208087,31.112698372208097,139.50141105616513
1S,25,145.55271403066138,154.04119982655925,C005,8_18_14_21,2020-08-18,24,14:21:00,14,14,0.5,528,OFF,HS,1,LB,0,1,S,350,27,1.34,239,0,26.589809331329615,4.68850079700712,144.7288980019499
1S,25,145.55271403066138,154.04119982655925,C005,8_18_14_32,2020-08-18,24,14:32:00,14,14,0.5,531,OFF,HS,2,LB,0,1,S,300,18,1.51,239,0,9,15.588457268119894,149.06912846416404
1S,25,145.55271403066138,154.04119982655925,C006,8_18_14_54,2020-08-18,24,14:54:00,14,14,0.5,532,OFF,HS,2,LB,0,1,S,350,40,1.84,239,0,39.39231012048832,6.945927106677216,140.52164223629293
1S,25,145.55271403066138,154.04119982655925,C006,8_18_14_57,2020-08-18,24,14:57:00,14,14,0.5,533,OFF,HS,2,LB,0,1,S,0,33,1.88,239,0,33,-0,142.58085357617358
1S,25,145.55271403066138,154.04119982655925,C008,8_19_9_40,2020-08-19,25,09:40:00,9,9,0.5,548,OFF,HS,2,LB,0,1,S,230,42,0.33,520,0,-26.997079606834664,32.173866610997074,139.9993764419003
1S,25,145.55271403066138,154.04119982655925,C008,8_19_9_55,2020-08-19,25,09:55:00,9,9,0.5,553,OFF,HS,1,LB,1,1,S,230,7,0.13,520,0,-4.499513267805777,5.362311101832845,159.17895286855972
1S,25,145.55271403066138,154.04119982655925,T027,8_19_11_12,2020-08-19,25,11:12:00,11,11,0.5,569,ON,HS,2,LB,0,1,S,239,30,-0.57,520,0,-15.451142247301634,25.715019021063362,143.60108475630142
1S,25,145.55271403066138,154.04119982655925,T030,8_19_13_54,2020-08-19,25,13:54:00,13,13,0.5,606,ON,HS,1,LB,0,1,S,200,7,0.37,520,0,-6.5778483455013586,2.394141003279681,159.17895286855972
1S,25,145.55271403066138,154.04119982655925,T031,8_19_14_35,2020-08-19,25,14:35:00,14,14,0.5,608,ON,HS,1,LB,0,1,S,350,42,0.98,520,0,41.361925626512736,7.293223462011076,139.9993764419003
1S,25,145.55271403066138,154.04119982655925,T031,8_19_14_57,2020-08-19,25,14:57:00,14,14,0.5,612,ON,HS,1,LB,0,1,S,40,37,1.32,520,0,28.34364439540219,-23.78314155840195,141.35616794615436
1S,25,145.55271403066138,154.04119982655925,T038,8_20_15_52,2020-08-20,26,15:52:00,15,15,0.5,680,ON,HS,1,LB,0,1,S,290,32,1.66,333,0,10.94464458642141,30.070163865149066,142.9102434241471
1S,25,145.55271403066138,154.04119982655925,T038,8_20_15_55,2020-08-20,26,15:55:00,15,15,0.5,682,ON,HS,3,LB,0,1,S,350,21,1.71,333,0,20.680962813256368,3.646611731005538,147.41904942412293
1S,25,145.55271403066138,154.04119982655925,T038,8_20_16_4,2020-08-20,26,16:04:00,15,16,0.5,684,ON,HS,1,LB,0,1,S,280,21,1.85,333,0,3.6466117310055295,20.68096281325637,147.41904942412293
1S,25,145.55271403066138,154.04119982655925,T038,8_20_16_11,2020-08-20,26,16:11:00,15,16,0.5,685,ON,HS,2,LB,1,1,S,280,32,1.96,333,0,5.556741685341759,31.51384809639066,142.9102434241471
1S,25,145.55271403066138,154.04119982655925,T040,8_21_13_45,2020-08-21,27,13:45:00,13,13,0.5,695,ON,HS,1,LB,0,1,S,15,33,-0.18,585,0,31.875552267539256,-8.541028488383184,142.58085357617358
1S,25,145.55271403066138,154.04119982655925,C009,8_22_11_14,2020-08-22,28,11:14:00,11,11,0.5,705,ON,HS,1,AC,0,1,S,40,25,1.44,296,0,19.151111077974452,-16.06969024216348,145.55271403066138
1S,25,145.55271403066138,154.04119982655925,T041,8_24_13_39,2020-08-24,30,13:39:00,13,13,0.5,765,ON,HS,2,LB,0,1,S,295,39,1.67,248,0,16.482112207887283,35.34600369442934,140.79265229178847
1S,25,145.55271403066138,154.04119982655925,C016,9_2_10_41,2020-09-02,39,10:41:00,10,10,0.5,803,OFF,HS,2,AB,0,1,S,307,39,0.21,145,0,23.47078590292987,31.146784891844433,140.79265229178847
1S,25,145.55271403066138,154.04119982655925,T044,9_2_12_41,2020-09-02,39,12:41:00,12,12,0.5,819,ON,HS,1,AB,0,1,S,335,35,0.14,145,0,31.720772546282753,14.79163916092447,141.95100571626028
1S,25,145.55271403066138,154.04119982655925,T047,9_2_15_32,2020-09-02,39,15:32:00,15,15,0.5,855,ON,HS,1,AB,0,1,S,NA,36,2.06,145,0,NA,NA,141.6494554819414
1S,25,145.55271403066138,154.04119982655925,T054,9_3_15_42,2020-09-03,40,15:42:00,15,15,0.5,944,ON,HS,1,AB,0,1,S,280,18,1.86,407,0,3.1256671980047397,17.726539554219748,149.06912846416404
1S,25,145.55271403066138,154.04119982655925,T054,9_3_16_10,2020-09-03,40,16:10:00,15,16,0.5,949,ON,HS,1,AB,0,1,S,60,7,2.21,407,0,3.500000000000001,-6.06217782649107,159.17895286855972
1S,25,145.55271403066138,154.04119982655925,T057,9_4_13_11,2020-09-04,41,13:11:00,13,13,0.5,972,ON,HS,1,AB,0,1,S,310,19,0.43,195,0,12.212964584044245,14.554844419260585,148.4903753333227
1S,25,145.55271403066138,154.04119982655925,T057,9_4_13_31,2020-09-04,41,13:31:00,13,13,0.5,978,ON,HS,1,AB,0,1,S,335,19,0.48,195,0,17.219847953696352,8.029746973073284,148.4903753333227
1S,25,145.55271403066138,154.04119982655925,T058,9_4_13_42,2020-09-04,41,13:42:00,13,13,0.5,983,ON,HS,1,AB,0,1,S,340,29,0.53,195,0,27.251086002791343,9.918584156444387,143.9639779975612
1S,25,145.55271403066138,154.04119982655925,T058,9_4_13_46,2020-09-04,41,13:46:00,13,13,0.5,985,ON,HS,1,AB,0,1,S,10,13,0.55,195,0,12.802500789158705,-2.257426309670094,152.55255573622526
1S,25,145.55271403066138,154.04119982655925,T058,9_4_13_48,2020-09-04,41,13:48:00,13,13,0.5,987,ON,HS,1,AB,0,1,S,5,39,0.56,195,0,38.85159322557808,-3.3990739671586683,140.79265229178847
1S,25,145.55271403066138,154.04119982655925,T061,9_4_16_28,2020-09-04,41,16:28:00,16,16,0.5,1011,ON,HS,1,AB,0,1,S,330,27,2.13,195,0,23.382685902179837,13.500000000000012,144.7288980019499
1S,25,145.55271403066138,154.04119982655925,T061,9_4_16_33,2020-09-04,41,16:33:00,16,16,0.5,1014,ON,HS,2,AB,0,1,S,340,32,2.19,195,0,30.07016386514907,10.944644586421393,142.9102434241471
1S,25,145.55271403066138,154.04119982655925,T061,9_4_16_36,2020-09-04,41,16:36:00,16,16,0.5,1016,ON,HS,1,AB,0,1,S,325,18,2.23,195,0,14.744736797201849,10.324375854318834,149.06912846416404
1S,25,145.55271403066138,154.04119982655925,T061,9_4_16_41,2020-09-04,41,16:41:00,16,16,0.5,1020,ON,HS,1,AB,0,1,S,350,29,2.28,195,0,28.559424837354033,5.035797152340981,143.9639779975612
1S,25,145.55271403066138,154.04119982655925,T061,9_4_16_47,2020-09-04,41,16:47:00,16,16,0.5,1022,ON,HS,1,AB,0,1,S,300,18,2.35,195,0,9,15.588457268119894,149.06912846416404
1S,25,145.55271403066138,154.04119982655925,C023,9_5_15_43,2020-09-05,42,15:43:00,15,15,0.5,1107,OFF,HS,1,AB,0,1,S,325,21,1.44,65,0,17.202192930068822,12.045105163371973,147.41904942412293
1S,25,145.55271403066138,154.04119982655925,T063,9_6_10_28,2020-09-06,43,10:28:00,10,10,0.5,1119,ON,HS,1,LB,0,1,S,266,11,2.32,164,0,-0.7673212111853813,10.973204552858066,154.34075702061037
1S,25,145.55271403066138,154.04119982655925,T068,9_6_14_23,2020-09-06,43,14:23:00,14,14,0.5,1161,ON,HS,1,LB,0,1,S,342,24,1.06,164,0,22.825356391083684,7.416407864998742,145.98968594415555
1S,25,145.55271403066138,154.04119982655925,T068,9_6_14_36,2020-09-06,43,14:36:00,14,14,0.5,1166,ON,HS,1,LB,0,1,S,339,39,1.09,164,0,36.40963663339086,13.97635003226673,140.79265229178847
1S,25,145.55271403066138,154.04119982655925,T068,9_6_14_52,2020-09-06,43,14:52:00,14,14,0.5,1169,ON,HS,1,LB,0,1,S,332,43,1.14,164,0,37.96674649293386,20.187277199793304,139.74749834041017
1S,25,145.55271403066138,154.04119982655925,T069,9_6_15_18,2020-09-06,43,15:18:00,15,15,0.5,1175,ON,HS,1,LB,0,1,S,328,38,1.26,164,0,32.22582765394418,20.13693204086179,141.07070235110007
1S,25,145.55271403066138,154.04119982655925,T072,9_7_11_40,2020-09-07,44,11:40:00,11,11,0.5,1196,ON,HS,1,AC,0,1,S,20,9,2.22,181,0,8.457233587073176,-3.0781812899310186,156.48880144638667
1S,25,145.55271403066138,154.04119982655925,T073,9_7_12_46,2020-09-07,44,12:46:00,12,12,0.5,1202,ON,HS,NA,AC,0,1,S,20,9,1.82,181,0,8.457233587073176,-3.0781812899310186,156.48880144638667
1S,25,145.55271403066138,154.04119982655925,T073,9_7_12_52,2020-09-07,44,12:52:00,12,12,0.5,1204,ON,HS,1,AC,0,1,S,317,28,1.79,181,0,20.47790364533678,19.09595408174995,144.33960690411445
1S,25,145.55271403066138,154.04119982655925,T074,9_7_13_4,2020-09-07,44,13:04:00,13,13,0.5,1205,ON,HS,1,AC,0,1,S,330,21,1.72,181,0,18.186533479473205,10.500000000000009,147.41904942412293
1S,25,145.55271403066138,154.04119982655925,T074,9_7_13_6,2020-09-07,44,13:06:00,13,13,0.5,1207,ON,HS,1,AC,0,1,S,331,27,1.71,181,0,23.61473209276369,13.089859746651095,144.7288980019499
1S,25,145.55271403066138,154.04119982655925,T074,9_7_13_17,2020-09-07,44,13:17:00,13,13,0.5,1211,ON,HS,1,AC,0,1,S,330,32,1.65,181,0,27.712812921102028,16.000000000000014,142.9102434241471
1S,25,145.55271403066138,154.04119982655925,T074,9_7_13_22,2020-09-07,44,13:22:00,13,13,0.5,1213,ON,HS,1,AC,0,1,S,57,8,1.63,181,0,4.357112280120217,-6.709364543563392,157.74958938859234
1S,25,145.55271403066138,154.04119982655925,T074,9_7_13_27,2020-09-07,44,13:27:00,13,13,0.5,1214,ON,HS,1,AC,0,1,S,278,8,1.6,181,0,1.1133848076805235,7.922144549932563,157.74958938859234
1S,25,145.55271403066138,154.04119982655925,T074,9_7_13_28,2020-09-07,44,13:28:00,13,13,0.5,1215,ON,HS,1,AC,0,1,S,301,5,1.6,181,0,2.57519037455027,4.285836503510562,162.7806611829608
1S,25,145.55271403066138,154.04119982655925,T075,9_7_13_43,2020-09-07,44,13:43:00,13,13,0.5,1216,ON,HS,1,AC,0,1,S,336,12,1.54,181,0,10.96254549171121,4.880839716909602,153.4093589263782
1S,25,145.55271403066138,154.04119982655925,T075,9_7_13_46,2020-09-07,44,13:46:00,13,13,0.5,1219,ON,HS,1,AC,0,1,S,311,20,1.52,181,0,13.12118057981014,15.094191604455444,147.94131521851554
1S,25,145.55271403066138,154.04119982655925,T075,9_7_14_5,2020-09-07,44,14:05:00,13,14,0.5,1231,ON,HS,1,AC,0,1,S,20,8,1.46,181,0,7.517540966287267,-2.7361611466053497,157.74958938859234
1S,25,145.55271403066138,154.04119982655925,T076,9_7_14_29,2020-09-07,44,14:29:00,14,14,0.5,1241,ON,HS,1,AC,0,1,S,20,8,1.42,181,0,7.517540966287267,-2.7361611466053497,157.74958938859234
1S,25,145.55271403066138,154.04119982655925,C025,9_9_10_19,2020-09-09,46,10:19:00,9,10,0.5,1286,ON,HS,1,AMB,0,1,S,357,23,2.67,270,0,22.9684792993552,1.2037269935877204,146.44525790649385
1S,25,145.55271403066138,154.04119982655925,C026,9_9_11_24,2020-09-09,46,11:24:00,11,11,0.5,1297,OFF,HS,1,AMB,0,1,S,321,31,2.73,270,0,24.091524805166088,19.508932122544973,143.2500918224557
1S,25,145.55271403066138,154.04119982655925,C026,9_9_11_25,2020-09-09,46,11:25:00,11,11,0.5,1298,OFF,HS,1,AMB,0,1,S,335,34,2.73,270,0,30.8144647592461,14.369020899183772,142.2612977439735
1S,25,145.55271403066138,154.04119982655925,C026,9_9_11_29,2020-09-09,46,11:29:00,11,11,0.5,1301,OFF,HS,1,AMB,0,1,S,324,46,2.73,270,0,37.21478174124758,27.03812160545377,139.02558492427124
1S,25,145.55271403066138,154.04119982655925,C027,9_9_12_4,2020-09-09,46,12:04:00,12,12,0.5,1304,OFF,HS,1,AB,0,1,S,335,33,2.69,270,0,29.90815697220945,13.946402637443072,142.58085357617358
1S,25,145.55271403066138,154.04119982655925,C027,9_9_12_6,2020-09-09,46,12:06:00,12,12,0.5,1305,OFF,HS,1,AB,0,1,S,345,25,2.68,270,0,24.148145657226706,6.470476127563017,145.55271403066138
1S,25,145.55271403066138,154.04119982655925,C027,9_9_12_8,2020-09-09,46,12:08:00,12,12,0.5,1306,OFF,HS,1,AB,0,1,S,330,23,2.68,270,0,19.918584287042084,11.50000000000001,146.44525790649385
1S,25,145.55271403066138,154.04119982655925,C027,9_9_12_22,2020-09-09,46,12:22:00,12,12,0.5,1316,OFF,HS,2,AB,0,1,S,345,39,2.65,270,0,37.671107225273666,10.093942758998306,140.79265229178847
1S,25,145.55271403066138,154.04119982655925,C028,9_9_12_54,2020-09-09,46,12:54:00,12,12,0.5,1332,OFF,HS,1,AB,0,1,S,335,15,2.57,270,0,13.594616805549752,6.339273926110487,151.02075773852403
1S,25,145.55271403066138,154.04119982655925,C028,9_9_12_55,2020-09-09,46,12:55:00,12,12,0.5,1333,OFF,HS,1,AB,0,1,S,10,20,2.57,270,0,19.69615506024416,-3.4729635533386065,147.94131521851554
1S,25,145.55271403066138,154.04119982655925,C030,9_9_14_24,2020-09-09,46,14:24:00,14,14,0.5,1354,OFF,HS,1,AB,0,1,S,325,18,2.3,270,0,14.744736797201849,10.324375854318834,149.06912846416404
1S,25,145.55271403066138,154.04119982655925,C030,9_9_14_26,2020-09-09,46,14:26:00,14,14,0.5,1356,OFF,HS,1,AB,0,1,S,305,23,2.29,270,0,13.192258036074058,18.84049701864681,146.44525790649385
1S,25,145.55271403066138,154.04119982655925,C030,9_9_14_27,2020-09-09,46,14:27:00,14,14,0.5,1357,OFF,HS,1,AB,0,1,S,350,29,2.29,270,0,28.559424837354033,5.035797152340981,143.9639779975612
1S,25,145.55271403066138,154.04119982655925,C030,9_9_14_30,2020-09-09,46,14:30:00,14,14,0.5,1358,OFF,HS,1,AB,0,1,S,325,22,2.28,270,0,18.021344974357813,12.61868159972302,146.92108403838773
1S,25,145.55271403066138,154.04119982655925,C030,9_9_14_42,2020-09-09,46,14:42:00,14,14,0.5,1364,OFF,HS,1,AB,0,1,S,280,14,2.25,270,0,2.4310744873370194,13.787308542170914,151.75927988633708
1S,25,145.55271403066138,154.04119982655925,C030,9_9_14_49,2020-09-09,46,14:49:00,14,14,0.5,1370,OFF,HS,1,AB,0,1,S,280,13,2.23,270,0,2.2574263096700897,12.802500789158707,152.55255573622526
1S,25,145.55271403066138,154.04119982655925,C030,9_9_14_49,2020-09-09,46,14:49:00,14,14,0.5,1371,OFF,HS,1,AB,0,1,S,5,33,2.23,270,0,32.874425037027606,-2.8761395106727194,142.58085357617358
1S,25,145.55271403066138,154.04119982655925,C031,9_9_14_59,2020-09-09,46,14:59:00,14,14,0.5,1374,OFF,HS,1,AB,0,1,S,10,23,2.2,270,0,22.650578319280786,-3.9939080863393976,146.44525790649385
1S,25,145.55271403066138,154.04119982655925,C031,9_9_15_3,2020-09-09,46,15:03:00,14,15,0.5,1377,OFF,HS,1,AB,0,1,S,330,29,2.19,270,0,25.114736709748712,14.500000000000012,143.9639779975612
1S,25,145.55271403066138,154.04119982655925,C031,9_9_15_9,2020-09-09,46,15:09:00,14,15,0.5,1381,OFF,HS,1,AB,1,1,S,280,29,2.17,270,0,5.035797152340969,28.559424837354037,143.9639779975612
1S,25,145.55271403066138,154.04119982655925,C031,9_9_15_12,2020-09-09,46,15:12:00,14,15,0.5,1383,OFF,HS,1,AB,0,1,S,345,25,2.17,270,0,24.148145657226706,6.470476127563017,145.55271403066138
1S,25,145.55271403066138,154.04119982655925,C031,9_9_15_14,2020-09-09,46,15:14:00,14,15,0.5,1385,OFF,HS,1,AB,0,1,S,350,23,2.16,270,0,22.650578319280786,3.993908086339399,146.44525790649385
1S,25,145.55271403066138,154.04119982655925,C031,9_9_15_17,2020-09-09,46,15:17:00,14,15,0.5,1386,OFF,HS,1,AB,0,1,S,320,12,2.15,270,0,9.192533317427735,7.713451316238475,153.4093589263782
1S,25,145.55271403066138,154.04119982655925,C031,9_9_15_19,2020-09-09,46,15:19:00,14,15,0.5,1387,OFF,HS,1,AB,0,1,S,300,34,2.15,270,0,17,29.444863728670914,142.2612977439735
1S,25,145.55271403066138,154.04119982655925,C031,9_9_15_20,2020-09-09,46,15:20:00,14,15,0.5,1388,OFF,HS,1,AB,0,1,S,330,18,2.15,270,0,15.58845726811989,9.000000000000007,149.06912846416404
1S,25,145.55271403066138,154.04119982655925,C031,9_9_15_21,2020-09-09,46,15:21:00,14,15,0.5,1389,OFF,HS,1,AB,0,1,S,350,36,2.15,270,0,35.45307910843949,6.251334396009494,141.6494554819414
1S,25,145.55271403066138,154.04119982655925,C031,9_9_15_22,2020-09-09,46,15:22:00,14,15,0.5,1390,OFF,HS,1,AB,0,1,S,335,22,2.14,270,0,19.938771314806303,9.297601758295382,146.92108403838773
